,City,Lat,lon,Temp_max,Humidity,Cloudiness,Wind_speed,Country,Date
355,Laguna,38.421,-121.4238,25.16,33,1,1.34,US,1633825259
356,Chokurdakh,70.6333,147.9167,-13.51,96,95,2.39,RU,1633825549
357,Paragominas,-2.9667,-47.4833,23.19,95,100,1.48,BR,1633825551
358,Berlevåg,70.8578,29.0864,4.21,92,100,2.55,NO,1633825552
359,Menzel Salem,35.8567,8.4765,14.0,69,66,4.62,TN,1633825553
360,Lima,-12.0432,-77.0282,17.72,80,40,4.63,PE,1633825364
361,Byron Bay,-28.65,153.6167,29.06,55,4,7.13,AU,1633825295
362,Gambēla,8.25,34.5833,22.31,95,100,1.74,ET,1633825558
363,Chifeng,42.2683,118.9636,8.23,41,97,6.96,CN,1633825559
364,Vāsudevanallūr,9.2333,77.4167,24.86,81,100,3.12,IN,1633825560
365,Kisangani,0.5167,25.2,21.73,97,91,0.73,CD,1633825563
366,Ipswich,52.0592,1.1555,12.19,93,20,1.03,GB,1633825564
367,Pizarro,4.9533,-77.366,23.9,88,100,1.02,CO,1633825566
368,Warri,5.5167,5.75,24.25,94,100,1.65,NG,1633825567
369,Nelson Bay,-32.7167,152.15,31.53,44,34,2.72,AU,1633825568
370,Jiwani,25.05,61.7417,27.38,70,0,1.68,PK,1633825569
371,Playas,-2.6333,-80.3833,21.48,84,43,6.73,EC,1633825572
372,Zhangye,38.9342,100.4517,4.02,21,0,1.64,CN,1633825573
373,Hebi,35.8992,114.1925,16.0,78,99,4.87,CN,1633825576
374,San Patricio,28.017,-97.5169,28.38,59,0,5.47,US,1633825577
375,Aransas Pass,27.9095,-97.15,27.21,76,1,4.02,US,1633825578
376,Yar-Sale,66.8333,70.8333,-1.6,90,56,7.71,RU,1633825580
377,Serabu,7.7958,-12.0536,23.6,97,100,0.53,SL,1633825581
378,Lingyuan,41.24,119.4011,9.87,49,75,5.41,CN,1633825583
379,Pahrump,36.2083,-115.9839,23.92,17,49,1.79,US,1633825557
380,Tuatapere,-46.1333,167.6833,19.34,51,65,1.86,NZ,1633825586
381,Kutum,14.2,24.6667,24.55,15,100,4.28,SD,1633825587
382,Rocha,-34.4833,-54.3333,10.26,94,1,2.63,UY,1633825588
383,Yangi Marg`ilon,40.4272,71.7189,11.4,54,75,2.06,UZ,1633825590
384,Bathsheba,13.2167,-59.5167,24.34,94,75,5.14,BB,1633825591
385,Mount Gambier,-37.8333,140.7667,11.95,71,75,5.66,AU,1633825592
386,Rome,43.2128,-75.4557,17.68,76,1,3.09,US,1633825564
387,Druzhba,52.0428,33.9453,3.27,67,79,2.78,UA,1633825596
388,Ostrovnoy,68.0531,39.5131,3.93,97,100,5.63,RU,1633825597
389,Altea,38.5989,-0.0514,20.88,68,11,0.91,ES,1633825598
390,Novopskov,49.5464,39.0899,6.73,55,100,3.2,UA,1633825600
391,Kemijärvi,66.7131,27.4306,6.46,95,100,3.15,FI,1633825601
392,Independence,39.0911,-94.4155,28.73,45,1,1.34,US,1633825602
393,Danville,36.586,-79.395,19.13,92,90,3.6,US,1633825506
394,Tutóia,-2.7619,-42.2744,26.75,81,88,4.71,BR,1633825605
395,San Quintín,30.4833,-115.95,20.18,64,18,8.66,MX,1633825606
396,Iquique,-20.2208,-70.1431,16.02,76,31,1.72,CL,1633825339
397,Algarrobo,10.1869,-74.5753,24.41,85,70,2.96,CO,1633825608
398,Spassk-Ryazanskiy,54.4072,40.3806,3.34,76,48,2.23,RU,1633825610
399,Santa Maria,-29.6842,-53.8069,18.61,88,90,4.63,BR,1633825583
400,Kholodnyy,62.7167,147.95,-10.6,83,67,1.17,RU,1633825612
401,Troitskoye,52.9821,84.6757,2.8,72,3,3.65,RU,1633825613
402,Foumban,5.7291,10.9001,17.68,95,100,1.08,CM,1633825615
403,Galle,6.0367,80.217,26.9,84,98,5.9,LK,1633825616
404,Mahibadhoo,3.7833,72.9667,28.42,76,95,6.46,MV,1633825617
405,Ubari,26.5921,12.7805,24.14,14,0,3.41,LY,1633825619
406,Kochubey,44.3861,46.5825,11.37,59,82,5.96,RU,1633825620
407,Kyshtovka,56.555,76.6271,3.75,82,100,2.89,RU,1633825621
408,Collie,-33.3667,116.15,9.99,65,100,2.6,AU,1633825623
409,Saldanha,-33.0117,17.9442,10.03,79,23,4.74,ZA,1633825624
410,Manturovo,58.3353,44.7619,6.59,82,100,1.98,RU,1633825626
411,Akalkot,17.5333,76.2167,24.95,82,100,0.93,IN,1633825629
412,Piombino,42.9348,10.5221,14.22,58,0,2.24,IT,1633825630
413,Calatayud,41.3535,-1.6432,17.32,71,18,1.16,ES,1633825632
414,Kununurra,-15.7667,128.7333,32.99,35,40,2.06,AU,1633825633
415,Benguela,-12.5763,13.4055,22.56,77,44,0.74,AO,1633825634
416,Phayao,19.25,100.25,22.53,98,100,0.03,TH,1633825636
417,Vardø,70.3705,31.1107,5.36,91,100,3.08,NO,1633825637
418,San Andrés,12.5847,-81.7006,29.01,79,75,4.12,CO,1633825638
419,Kalmar,56.6616,16.3616,10.54,93,93,2.06,SE,1633825640
420,Pangody,65.85,74.4859,-2.89,83,44,6.29,RU,1633825641
421,Tataouine,32.9297,10.4518,21.49,72,0,1.78,TN,1633825642
422,Tual,-5.6667,132.75,27.91,78,84,3.55,ID,1633825644
423,Vila,42.0304,-8.1588,14.07,61,91,2.04,PT,1633825645
424,Lata,40.1629,-8.3327,16.15,75,56,1.28,PT,1633825646
425,Lukaya,-0.1489,31.8748,17.66,94,100,3.01,UG,1633825647
426,Egvekinot,66.3167,-179.1667,-6.14,82,100,1.68,RU,1633825649
427,Maningrida,-12.0667,134.2667,29.23,67,60,3.46,AU,1633825651
428,Kem',64.9555,34.5793,8.27,92,100,3.74,RU,1633825652
429,Quesnel,52.9999,-122.5029,8.28,87,90,3.09,CA,1633825654
430,Viedma,-40.8135,-62.9967,17.13,35,0,7.46,AR,1633825655
431,Yamada,39.4667,141.95,19.76,79,72,5.62,JP,1633825656
432,Zhangaözen,43.3,52.8,6.84,40,0,2.01,KZ,1633825658
433,Wonthaggi,-38.6044,145.5913,15.67,54,47,4.16,AU,1633825659
434,Palana,59.1167,159.9667,-0.3,97,99,4.94,RU,1633825660
435,Grand-Bourg,15.8835,-61.3148,26.97,75,94,10.16,GP,1633825662
436,Uglegorsk,49.0833,142.0333,13.96,75,100,9.42,RU,1633825664
437,Requena,39.4883,-1.1004,15.63,87,64,1.76,ES,1633825665
438,Esim,4.8699,-2.2405,25.43,89,100,3.81,GH,1633825667
439,Concordia,-31.393,-58.0209,19.32,72,12,3.13,AR,1633825668
440,Otane,-39.8833,176.6333,18.34,46,41,5.25,NZ,1633825669
441,Ghanzi,-21.5667,21.7833,18.39,12,0,5.1,BW,1633825670
442,Walvis Bay,-22.9575,14.5053,12.83,76,0,1.54,NA,1633825672
443,Yashkul',46.1711,45.3435,8.13,57,99,3.45,RU,1633825673
444,Sur,22.5667,59.5289,28.09,50,6,3.0,OM,1633825674
445,Morón,-34.6534,-58.6198,16.12,79,0,2.24,AR,1633825641
446,Gejiu,23.306,103.1635,13.63,86,100,2.53,CN,1633825677
447,Bambanglipuro,-7.95,110.2833,17.56,80,50,2.61,ID,1633825678
448,Longyearbyen,78.2186,15.6401,-7.09,79,0,4.12,SJ,1633825679
449,Moram,17.8,76.4667,23.51,83,100,2.33,IN,1633825681
450,Karratha,-20.7377,116.8463,26.88,28,0,10.56,AU,1633825682
451,Adet,11.2644,37.4888,12.9,88,100,0.9,ET,1633825683
452,Saint-Etienne,45.4333,4.4,9.63,93,90,0.51,FR,1633825686
453,Tucupita,9.0622,-62.051,24.29,97,95,1.54,VE,1633825687
454,Galveston,29.3669,-94.9669,28.06,76,20,5.14,US,1633825395
455,Caconda,-13.7333,15.0667,20.0,41,12,1.99,AO,1633825690
456,Itapetininga,-23.5917,-48.0531,15.93,92,100,6.26,BR,1633825567
457,Yinchuan,38.4681,106.2731,7.49,39,100,2.27,CN,1633825693
458,Esperance,-33.8667,121.9,13.91,51,80,1.88,AU,1633825694
459,Fortuna Foothills,32.6578,-114.4119,30.03,14,1,1.79,US,1633825696
460,Boca do Acre,-8.7522,-67.3978,28.47,60,89,0.61,BR,1633825697
461,Eidfjord,60.4675,7.0719,13.57,87,100,1.42,NO,1633825698
462,Gunjur,13.2019,-16.7339,25.04,100,75,0.0,GM,1633825699
463,Tabora,-5.0167,32.8,26.61,31,94,2.69,TZ,1633825701
464,Vallenar,-28.5708,-70.7581,13.99,48,0,1.12,CL,1633825702
465,Santo Tomas,14.1079,121.1414,28.14,85,94,2.28,PH,1633825703
466,Ørnes,66.8689,13.7078,12.14,97,100,6.8,NO,1633825705
467,Gamba,-2.65,10.0,24.77,90,100,4.01,GA,1633825706
468,Mishelevka,52.8575,103.1719,1.42,63,28,1.3,RU,1633825707
469,Giresun Province,40.5,38.5,1.62,41,0,1.22,TR,1633825709
470,Morristown,36.214,-83.2949,20.81,79,20,0.0,US,1633825710
471,Portmore,17.9702,-76.8672,28.98,77,20,5.66,JM,1633825711
472,Murdochville,48.9583,-65.5006,2.49,82,23,0.94,CA,1633825713
473,Mountain Home,43.133,-115.6912,15.41,38,1,6.69,US,1633825714
474,Coquimbo,-29.9533,-71.3436,13.85,71,0,3.6,CL,1633825715
475,Bardsīr,29.9227,56.5743,9.03,49,0,1.87,IR,1633825716
476,Troitsko-Pechorsk,62.7084,56.1964,-1.67,79,58,1.62,RU,1633825718
477,Bemidji,47.4736,-94.8803,17.16,97,75,2.57,US,1633825719
478,Scarborough,54.2797,-0.4044,14.95,88,100,0.45,GB,1633825720
479,Arkhipo-Osipovka,44.37,38.52,10.75,77,87,3.44,RU,1633825722
480,Abnūb,27.2696,31.1511,23.64,44,0,3.43,EG,1633825723
481,Raton,36.9034,-104.4391,20.19,28,1,6.17,US,1633825663
482,Luorong,24.4058,109.6086,21.86,88,100,4.91,CN,1633825725
483,Caucayá,-0.1934,-74.7819,25.55,82,94,1.13,CO,1633825727
484,Grindavik,63.8424,-22.4338,6.06,93,20,5.66,IS,1633825728
485,Kidal,18.4411,1.4078,28.6,10,13,4.69,ML,1633825729
486,Flinders,-34.5833,150.8552,23.22,77,83,3.58,AU,1633825731
487,Genhe,50.7833,121.5167,2.14,88,100,5.24,CN,1633825732
488,Shimoda,34.6667,138.95,21.2,84,78,3.9,JP,1633825733
489,Qaqortoq,60.7167,-46.0333,-0.72,54,17,2.42,GL,1633825734
490,Podporozh'ye,60.9112,34.1706,9.48,96,100,3.3,RU,1633825736
491,Hargeisa,9.56,44.065,21.5,72,96,5.49,SO,1633825737
492,Verāval,20.9,70.3667,26.9,81,63,0.25,IN,1633825738
493,Cantagallo,7.376,-73.9196,24.61,95,70,1.1,CO,1633825740
494,La Mesa,32.7678,-117.0231,23.14,66,1,1.79,US,1633825741
495,La Asuncion,11.0333,-63.8628,26.26,85,43,3.15,VE,1633825743
496,Jennings,38.7192,-90.2604,27.1,66,1,0.45,US,1633825744
497,Sarishābāri,24.7333,89.8333,27.42,77,8,1.87,BD,1633825745
498,Kalanguy,51.0167,116.5167,0.25,65,47,3.77,RU,1633825747
499,Alice Springs,-23.7,133.8833,22.75,40,37,8.75,AU,1633825449
500,Oudtshoorn,-33.5907,22.2014,9.2,83,7,0.98,ZA,1633825749
501,Kansanshi,-12.0951,26.4273,20.66,39,26,0.89,ZM,1633825750
502,Orocué,4.7912,-71.3354,26.18,83,99,2.04,CO,1633825752
503,Los Llanos de Aridane,28.6585,-17.9182,19.86,85,40,4.63,ES,1633825753
504,Nicoya,10.1483,-85.452,24.75,89,90,1.11,CR,1633825754
505,Kathu,7.9178,98.3332,29.27,96,97,8.08,TH,1633825756
506,Morro Bay,35.3658,-120.8499,24.9,62,4,3.13,US,1633825460
507,Coxim,-18.5067,-54.76,31.57,41,64,1.35,BR,1633825759
508,Nuevo Progreso,23.1667,-97.95,28.08,65,19,0.45,MX,1633825760
509,Benjamín Aceval,-24.9667,-57.5667,23.11,98,100,2.24,PY,1633825762
510,Dabola,10.75,-11.1167,22.25,97,85,1.05,GN,1633825763
511,Akhtanizovskaya,45.32,37.1,9.26,58,88,8.02,RU,1633825764
512,Sarangani,5.4033,125.4636,28.99,76,100,8.0,PH,1633825766
513,Horodnytsya,50.807,27.3168,1.59,68,12,2.31,UA,1633825767
514,Deputatsky,69.3,139.9,-6.75,82,100,1.8,RU,1633825768
515,Kandrian,-6.2167,149.55,29.26,71,90,2.89,PG,1633825770
516,Solano,38.2333,-121.9511,26.29,30,1,3.6,US,1633825771
517,Bariloche,-41.1456,-71.3082,13.86,38,0,2.06,AR,1633825626
518,Tautira,-17.7333,-149.15,29.01,69,24,1.54,PF,1633825773
519,Prince Rupert,54.3161,-130.3201,9.83,77,40,1.03,CA,1633825775
520,Marabu,4.4148,114.0089,28.08,89,20,1.54,MY,1633825776
521,Kiama,-34.6833,150.8667,23.33,81,88,1.34,AU,1633825777
522,Saryozek,44.3583,77.9753,5.71,33,100,1.11,KZ,1633825779
523,Champerico,14.3,-91.9167,29.64,81,100,3.58,GT,1633825780
524,Penzance,50.1186,-5.5371,14.31,85,100,3.65,GB,1633825781
525,Tilichiki,60.4667,166.1,-0.99,60,25,1.69,RU,1633825784
526,Zadonsk,52.3904,38.9261,-0.92,65,100,1.81,RU,1633825785
527,Chumikan,54.7183,135.315,7.83,70,100,8.33,RU,1633825786
528,Sisimiut,66.9395,-53.6735,-0.17,84,100,5.66,GL,1633825787
529,Bonthe,7.5264,-12.505,25.35,88,90,2.94,SL,1633825789
530,Grants,35.1473,-107.8514,16.13,44,1,4.12,US,1633825790
531,Hūn,29.1268,15.9477,25.02,18,1,5.55,LY,1633825791
532,Iqaluit,63.7506,-68.5145,0.85,100,90,0.0,CA,1633825791
533,Guantánamo,20.1444,-75.2092,29.04,87,85,1.21,CU,1633825795
534,Hay River,60.8156,-115.7999,8.99,66,75,2.57,CA,1633825796
535,Artsvanist,40.1544,45.5022,7.64,65,7,0.59,AM,1633825797
536,Hohhot,40.8106,111.6522,1.16,60,0,2.0,CN,1633825799
537,Rutana Province,-3.8667,30.1,17.12,62,32,1.75,BI,1633825800
538,Pembroke,45.8168,-77.1162,15.99,91,100,2.63,CA,1633825802
539,Andenes,69.3143,16.1194,8.37,93,75,2.57,NO,1633825803
540,Escárcega,18.6089,-90.7454,24.33,94,100,1.48,MX,1633825805
541,Thunder Bay,48.4001,-89.3168,18.88,98,90,3.09,CA,1633825575
542,Kasulu,-4.5767,30.1025,21.41,55,100,1.06,TZ,1633825808
543,Ratnagiri,16.9833,73.3,25.12,92,40,2.66,IN,1633825810
544,Gurupi,-11.7292,-49.0686,31.9,27,80,2.02,BR,1633825812
545,Nuuk,64.1835,-51.7216,1.34,86,75,3.6,GL,1633825814
546,Saint-Augustin,51.226,-58.6502,5.42,61,51,2.72,CA,1633825816
547,Yatou,37.15,122.3833,16.55,81,100,7.72,CN,1633825817
548,Uvalde,29.3669,-99.767,30.08,29,1,2.57,US,1633825638
549,Luganville,-15.5333,167.1667,26.46,82,89,6.06,VU,1633825728
550,Zhurivka,50.5028,31.7849,1.99,47,96,3.36,UA,1633825822
551,Ketchikan,55.3422,-131.6461,9.26,66,75,1.54,US,1633825823
552,Barcelos,41.5388,-8.6151,19.95,61,63,2.14,PT,1633825824
553,Baharly,38.4362,57.4316,7.09,34,0,1.41,TM,1633825826
554,Brae,60.3964,-1.353,10.95,90,100,6.79,GB,1633825827
555,Luanda,-8.8368,13.2343,23.0,83,75,2.06,AO,1633825689
556,Amoy,24.4798,118.0819,29.03,65,20,5.0,CN,1633825830
557,Tūkrah,32.5341,20.5791,23.47,51,5,3.06,LY,1633825832
558,Mercedes,-34.6515,-59.4307,16.03,82,0,3.69,AR,1633825833
559,Lompoc,34.6391,-120.4579,23.54,70,1,7.72,US,1633825834
560,Statesville,35.7826,-80.8873,19.71,61,1,3.09,US,1633825836
561,Cabo San Lucas,22.8909,-109.9124,34.17,55,1,2.06,MX,1633825837
562,Avera,33.194,-82.5271,22.03,85,30,2.26,US,1633825716
563,Poronaysk,49.2167,143.1167,12.32,77,100,7.85,RU,1633825839
564,Alberton,46.8168,-64.0654,7.95,67,4,2.37,CA,1633825841
565,Sola,-13.8833,167.55,27.37,83,90,0.0,VU,1633825842
